sku,description,markets_missing,UK
MONACO-3GB-15D,Monaco 3GB 15Days,0,Inactive
MONACO-5GB-30D,Monaco 5GB 30Days,0,Inactive
MONGOLIA-3GB-15D,Mongolia 3GB 15Days,0,Inactive
MONTENEGRO-3GB-15D,Montenegro 3GB 15Days,0,Inactive
MONTSERRAT-20GB-30D,Montserrat 20GB 30Days,0,Inactive
MONTSERRAT-3GB-15D,Montserrat 3GB 15Days,0,Inactive
MONTSERRAT-5GB-30D,Montserrat 5GB 30Days,0,Inactive
MOROCCO-20GB-30D,Morocco 20GB 30Days,0,Active
MOROCCO-3GB-15D,Morocco 3GB 15Days,0,Active
MOROCCO-5GB-30D,Morocco 5GB 30Days,0,Inactive
MOZAMBIQUE-20GB-30D,Mozambique 20GB 30Days,0,Inactive
MOZAMBIQUE-3GB-15D,Mozambique 3GB 15Days,0,Inactive
NEPAL-3GB-15D,Nepal 3GB 15Days,0,Inactive
NETHERLANDS-20GB-30D,Netherlands 20GB 30Days,0,Active
NETHERLANDS-3GB-15D,Netherlands 3GB 15Days,0,Active
NETHERLANDS-5GB-30D,Netherlands 5GB 30Days,0,Active
NEW-ZEALAND-20GB-30D,New Zealand 20GB 30Days,0,Inactive
NEW-ZEALAND-3GB-15D,New Zealand 3GB 15Days,0,Inactive
NEW-ZEALAND-5GB-30D,New Zealand 5GB 30Days,0,Inactive
NICARAGUA-3GB-15D,Nicaragua 3GB 15Days,0,Inactive
NIGER-3GB-15D,Niger 3GB 15Days,0,Inactive
NIGERIA-3GB-15D,Nigeria 3GB 15Days,0,Inactive
NORTH-AMERICA-5GB-30D,North America 5GB 30Days,0,Inactive
NORTH-MACEDONIA-3GB-15D,North Macedonia 3GB 15Days,0,Inactive
NORTH-MACEDONIA-5GB-30D,North Macedonia 5GB 30Days,0,Inactive
NORWAY-20GB-30D,Norway 20GB 30Days,0,Inactive
NORWAY-3GB-15D,Norway 3GB 15Days,0,Inactive
NORWAY-5GB-30D,Norway 5GB 30Days,0,Inactive
OMAN-20GB-30D,Oman 20GB 30Days,0,Inactive
OMAN-3GB-15D,Oman 3GB 15Days,0,Inactive
PAKISTAN-20GB-30D,Pakistan 20GB 30Days,0,Inactive
PAKISTAN-3GB-15D,Pakistan 3GB 15Days,0,Inactive
PAKISTAN-5GB-30D,Pakistan 5GB 30Days,0,Inactive
PANAMA-3GB-15D,Panama 3GB 15Days,0,Inactive
PARAGUAY-3GB-15D,Paraguay 3GB 15Days,0,Inactive
PERU-20GB-30D,Peru 20GB 30Days,0,Inactive
PERU-3GB-15D,Peru 3GB 15Days,0,Inactive
PHILIPPINES-20GB-30D,Philippines 20GB 30Days,0,Active
PHILIPPINES-3GB-15D,Philippines 3GB 15Days,0,Active
PHILIPPINES-5GB-30D,Philippines 5GB 30Days,0,Active
POLAND-20GB-30D,Poland 20GB 30Days,0,Active
POLAND-3GB-15D,Poland 3GB 15Days,0,Active
POLAND-5GB-30D,Poland 5GB 30Days,0,Active
PORTUGAL-20GB-30D,Portugal 20GB 30Days,0,Active
PORTUGAL-3GB-15D,Portugal 3GB 15Days,0,Active
PORTUGAL-5GB-30D,Portugal 5GB 30Days,0,Active
PUERTO-RICO-3GB-15D,Puerto Rico 3GB 15Days,0,Inactive
PUERTO-RICO-5GB-30D,Puerto Rico 5GB 30Days,0,Inactive
QATAR-20GB-30D,Qatar 20GB 30Days,0,Inactive
QATAR-3GB-15D,Qatar 3GB 15Days,0,Inactive
QATAR-5GB-30D,Qatar 5GB 30Days,0,Inactive
REPUBLIC-OF-THE-CONGO-20GB-30D,Republic of the Congo 20GB 30Days,0,Inactive
REPUBLIC-OF-THE-CONGO-3GB-15D,Republic of the Congo 3GB 15Days,0,Inactive
REPUBLIC-OF-THE-CONGO-5GB-30D,Republic of the Congo 5GB 30Days,0,Inactive
REUNION-3GB-15D,Reunion 3GB 15Days,0,Inactive
REUNION-5GB-30D,Reunion 5GB 30Days,0,Inactive
ROMANIA-20GB-30D,Romania 20GB 30Days,0,Inactive
ROMANIA-3GB-15D,Romania 3GB 15Days,0,Inactive
ROMANIA-5GB-30D,Romania 5GB 30Days,0,Inactive
RUSSIA-20GB-30D,Russia 20GB 30Days,0,Inactive
RUSSIA-3GB-15D,Russia 3GB 15Days,0,Inactive
RUSSIA-5GB-30D,Russia 5GB 30Days,0,Inactive
RWANDA-20GB-30D,Rwanda 20GB 30Days,0,Inactive
RWANDA-3GB-15D,Rwanda 3GB 15Days,0,Inactive
RWANDA-5GB-30D,Rwanda 5GB 30Days,0,Inactive
SAINT-BARTHELEMY-20GB-30D,Saint Barthelemy 20GB 30Days,0,Inactive
SAINT-BARTHELEMY-3GB-15D,Saint Barthelemy 3GB 15Days,0,Inactive
SAINT-BARTHELEMY-5GB-30D,Saint Barthelemy 5GB 30Days,0,Inactive
SAINT-KITTS-AND-NEVIS-20GB-30D,Saint Kitts and Nevis 20GB 30Days,0,Inactive
SAINT-KITTS-AND-NEVIS-3GB-15D,Saint Kitts and Nevis 3GB 15Days,0,Inactive
SAINT-KITTS-AND-NEVIS-5GB-30D,Saint Kitts and Nevis 5GB 30Days,0,Inactive
SAINT-LUCIA-20GB-30D,Saint Lucia 20GB 30Days,0,Inactive
SAINT-LUCIA-3GB-15D,Saint Lucia 3GB 15Days,0,Inactive
SAINT-LUCIA-5GB-30D,Saint Lucia 5GB 30Days,0,Inactive
SAINT-MARTIN-20GB-30D,Saint Martin 20GB 30Days,0,Inactive
SAINT-MARTIN-3GB-15D,Saint Martin 3GB 15Days,0,Inactive
SAINT-MARTIN-5GB-30D,Saint Martin 5GB 30Days,0,Inactive
SAINT-VINCENT-AND-THE-GRENADINES-3GB-15D,Saint Vincent and the Grenadines 3GB 15Days,0,Inactive
SAINT-VINCENT-AND-THE-GRENADINES-5GB-30D,Saint Vincent and the Grenadines 5GB 30Days,0,Inactive
SAMOA-20GB-30D,Samoa 20GB 30Days,0,Inactive
SAMOA-3GB-15D,Samoa 3GB 15Days,0,Inactive
SAMOA-5GB-30D,Samoa 5GB 30Days,0,Inactive
SAN-MARINO-20GB-30D,San Marino 20GB 30Days,0,Inactive
SAN-MARINO-3GB-15D,San Marino 3GB 15Days,0,Inactive
SAN-MARINO-5GB-30D,San Marino 5GB 30Days,0,Inactive
SAUDI-ARABIA-20GB-30D,Saudi Arabia 20GB 30Days,0,Inactive
SAUDI-ARABIA-3GB-15D,Saudi Arabia 3GB 15Days,0,Inactive
SAUDI-ARABIA-5GB-30D,Saudi Arabia 5GB 30Days,0,Inactive
SENEGAL-3GB-15D,Senegal 3GB 15Days,0,Active
SENEGAL-5GB-30D,Senegal 5GB 30Days,0,Active
SERBIA-20GB-30D,Serbia 20GB 30Days,0,Inactive
SERBIA-3GB-15D,Serbia 3GB 15Days,0,Inactive
SEYCHELLES-3GB-15D,Seychelles 3GB 15Days,0,Inactive
SEYCHELLES-5GB-30D,Seychelles 5GB 30Days,0,Inactive
SIERRA-LEONE-20GB-30D,Sierra Leone 20GB 30Days,0,Inactive
SIERRA-LEONE-3GB-15D,Sierra Leone 3GB 15Days,0,Inactive
SIERRA-LEONE-5GB-30D,Sierra Leone 5GB 30Days,0,Inactive
SINGAPORE-20GB-30D,Singapore 20GB 30Days,0,Active
SINGAPORE-5GB-30D,Singapore 5GB 30Days,0,Active
SLOVAKIA-20GB-30D,Slovakia 20GB 30Days,0,Inactive
