sku,market,asin,before,after,status,issues
BR_3_15,UK,B0FR9G5LKV,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BULGARIA-3GB-15D,UK,B0H6MCT4Y5,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BURKINA-FASO-3GB-15D,UK,B0FR9HWFSK,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BURKINA-FASO-5GB-30D,UK,B0FR9BWKSY,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BW_3_15,UK,B0FR9G7N2Q,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BY_3_15,UK,B0FR9G3Z82,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BY_5_30,UK,B0FR8FFT4D,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CAMBODIA-20GB-30D,UK,B0FR9GFJPL,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CAMBODIA-3GB-15D,UK,B0FR8XKMJ4,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CAMEROON-3GB-15D,UK,B0FR9VJ1ZB,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CANADA-PREMIUM-20GB-30D,UK,B0H6MJ9N4Y,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CANADA-PREMIUM-3GB-15D,UK,B0H6MJ1HMJ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
CANADA-PREMIUM-5GB-30D,UK,B0H6MPXGBN,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
