item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Jamaica eSIM 3GB 15Days	Jamaica eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUH1GXY	JAMAICA-ESIM		0	2026-06-30 18:33:19 CEST		y	1			11				B0H728T1P8						B0H728T1P8			0	DEFAULT	Incomplete
Japan eSIM 3GB 15Days	Japan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVVSQLX	JAPAN-ESIM		0	2026-07-01 06:10:20 CEST		y	1			11				B0H743L5PB						B0H743L5PB			0	DEFAULT	Incomplete
Jersey eSIM 3GB 15Days	Jersey eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVPYO3G	JERSEY-ESIM		0	2026-07-01 06:21:35 CEST		y	1			11				B0H74J2K1K						B0H74J2K1K			0	DEFAULT	Incomplete
Jordan eSIM 3GB 15Days	Jordan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVZ1LNK	JORDAN-ESIM		0	2026-07-01 06:32:13 CEST		y	1			11				B0H74BB5CB						B0H74BB5CB			0	DEFAULT	Incomplete
Kazakhstan eSIM 3GB 15Days	Kazakhstan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVQ87GJ	KAZAKHSTAN-ESIM		0	2026-07-01 06:42:29 CEST		y	1			11				B0H74C2V9F						B0H74C2V9F			0	DEFAULT	Incomplete
Kenya eSIM 3GB 15Days	Kenya eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HW3FLHZ	KENYA-ESIM		0	2026-07-01 06:52:56 CEST		y	1			11				B0H74BB912						B0H74BB912			0	DEFAULT	Incomplete
Kuwait eSIM 3GB 15Days	Kuwait eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HW3IYOM	KUWAIT-ESIM		0	2026-07-01 07:00:18 CEST		y	1			11				B0H7462LRX						B0H7462LRX			0	DEFAULT	Incomplete
Kyrgyzstan eSIM 3GB 15Days	Kyrgyzstan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVWET5T	KYRGYZSTAN-ESIM		0	2026-07-01 07:10:22 CEST		y	1			11				B0H74HMPKM						B0H74HMPKM			0	DEFAULT	Incomplete
Laos eSIM 20GB 30Days	Laos eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUEM814	LAOS-ESIM		0	2026-06-30 18:42:42 CEST		y	1			11				B0H72DD9WK						B0H72DD9WK			0	DEFAULT	Incomplete
Latvia eSIM 3GB 15Days	Latvia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HW4BTXV	LATVIA-ESIM		0	2026-07-01 07:17:24 CEST		y	1			11				B0H74B99DY						B0H74B99DY			0	DEFAULT	Incomplete
