sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
TZ_3_15	B0FRC81NPJ	B0FRC81NPJ	Tanzanie eSIM 3 Go 15 Jours	New	26.10	No		Yes	0	0	0	0	25	96.03	0	25	0	0	4	1	0	0	0	0	
UGANDA-3GB-15D	B0FRB7F7Z9	B0FRB7F7Z9	Uganda eSIM 3 Go 15 Jours	New	18.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
UKRAINE-3GB-15D	B0FRB9SBFR	B0FRB9SBFR	Ukraine eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	4	1	0	0	0	0	
UKRAINE-5GB-30D	B0FRC2NRKG	B0FRC2NRKG	Ukraine eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	5	0	0	0	0	0	
UNITED-ARAB-EMIRATES-20GB-30D	B0FRB7TFJR	B0FRB7TFJR	Émirats Arabes Unis eSIM 20 Go 30 Jours	New	36.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-ARAB-EMIRATES-3GB-15D	B0FRBBYBGH	B0FRBBYBGH	Émirats Arabes Unis eSIM 3 Go 15 Jours	New	12.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-ARAB-EMIRATES-5GB-30D	B0FRB89XHX	B0FRB89XHX	Émirats Arabes Unis eSIM 5 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-KINGDOM-20GB-30D	B0FRDGCBTN	B0FRDGCBTN	Royaume-Uni eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	80	169.44	0	80	0	0	0	20	0	0	0	0	
UNITED-KINGDOM-3GB-15D	B0FRCPD8TS	B0FRCPD8TS	Royaume-Uni eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	81	169.44	0	81	0	0	0	20	0	0	0	0	
UNITED-KINGDOM-5GB-30D	B0FRDDRGJF	B0FRDDRGJF	Royaume-Uni eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	80	169.44	0	80	0	0	0	20	0	0	0	0	
UNITED-STATES-3GB-15D	B0FRCFXK3V	B0FRCFXK3V	eSIM États-Unis 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
UNITED-STATES-5GB-30D	B0FRC2PQ8H	B0FRC2PQ8H	eSIM États-Unis 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
