sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	store
QATAR-5GB-30D	B0FR9X5KB1	B0FR9X5KB1	Qatar eSIM 5GB 30Days	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
REPUBLIC-OF-THE-CONGO-20GB-30D	B0H6MJ756Y	B0H6MJ756Y	Republic of the Congo eSIM 20GB 30Days	New	78.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
REPUBLIC-OF-THE-CONGO-3GB-15D	B0H6MM6DKT	B0H6MM6DKT	Republic of the Congo eSIM 3GB 15Days	New	22.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
REPUBLIC-OF-THE-CONGO-5GB-30D	B0H6MBXD3B	B0H6MBXD3B	Republic of the Congo eSIM 5GB 30Days	New	33.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
REUNION-3GB-15D	B0FRB3KCNQ	B0FRB3KCNQ	Reunion eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	
REUNION-5GB-30D	B0FRB47TQW	B0FRB47TQW	Reunion eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	
ROMANIA-20GB-30D	B0H6MGRC1F	B0H6MGRC1F	Romania eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	
ROMANIA-3GB-15D	B0H6MKQH2C	B0H6MKQH2C	Romania eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	
ROMANIA-5GB-30D	B0H6MFVLCB	B0H6MFVLCB	Romania eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
RUSSIA-20GB-30D	B0H6MDSLNC	B0H6MDSLNC	Russia eSIM 20GB 30Days	New	23.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	
RUSSIA-3GB-15D	B0H6MDNPC8	B0H6MDNPC8	Russia eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
RUSSIA-5GB-30D	B0H6MLHHB2	B0H6MLHHB2	Russia eSIM 5GB 30Days	New	13.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
RWANDA-20GB-30D	B0H6M66BWN	B0H6M66BWN	Rwanda eSIM 20GB 30Days	New	97.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
RWANDA-3GB-15D	B0H6MK2ZBQ	B0H6MK2ZBQ	Rwanda eSIM 3GB 15Days	New	24.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
RWANDA-5GB-30D	B0H6MJZHP1	B0H6MJZHP1	Rwanda eSIM 5GB 30Days	New	32.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-BARTHELEMY-20GB-30D	B0H6MJHHNB	B0H6MJHHNB	Saint Barthelemy eSIM 20GB 30Days	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-BARTHELEMY-3GB-15D	B0H6MDMD63	B0H6MDMD63	Saint Barthelemy eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-BARTHELEMY-5GB-30D	B0H6MBS246	B0H6MBS246	Saint Barthelemy eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-KITTS-AND-NEVIS-20GB-30D	B0H6MJQSR4	B0H6MJQSR4	Saint Kitts and Nevis eSIM 20GB 30Days	New	103.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-KITTS-AND-NEVIS-3GB-15D	B0H6MDHJ2B	B0H6MDHJ2B	Saint Kitts and Nevis eSIM 3GB 15Days	New	29.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-KITTS-AND-NEVIS-5GB-30D	B0H6MBK615	B0H6MBK615	Saint Kitts and Nevis eSIM 5GB 30Days	New	38.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-LUCIA-20GB-30D	B0H6MDX8DY	B0H6MDX8DY	Saint Lucia eSIM 20GB 30Days	New	103.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
SAINT-LUCIA-3GB-15D	B0H6M7Y1CD	B0H6M7Y1CD	Saint Lucia eSIM 3GB 15Days	New	29.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
